character,user,makise
Student,That’s not time travel either!,"Well, I was just getting started. Let’s say we wanted to make a machine that could physically transport people through time. What would we need? The best candidates for this are cosmic strings and wormholes. A cosmic string is a string-shaped ’crevice’ with extreme mass. The crevice is about as wide as an elementary particle, and at least as long as the diameter of a galaxy. It has immense mass, so it distorts space-time. If you were to travel through that distortion, you could make a full circle around the string in less than 360 degrees. In short, you can do something resembling a warp. This is called a space-time angular deficit. When you pass through an area of angular deficit, transit time becomes zero. Now we apply this to a cosmic string moving at near-light speed. According to the special theory of relativity, time will flow slower for the cosmic string in relation to its surroundings. Therefore, passing through the area of angular deficit would cause the transit time to become negative instead of zero. In other words, you will arrive in the past after transit. If you use two cosmic strings, you can do a space deficit jump. If you loop back to your original location, you can return to the same time you started revolving. And that, roughly speaking, is time travel by means of cosmic strings. By the way, just so nobody misunderstands, cosmic strings are not the same as superstrings. Now then, you need three things in order to travel to the past with cosmic strings. First. The cosmic strings themselves. Two strings, to be exact. By the way, they are hypothesized to exist only where the universe was first formed, so they might be a little hard to find. Second. You would need the energy required to make them move them at near-light speed. How much energy do you think you’d need to accelerate something as long as the Milky Way to near the speed of light? I’m pretty sure it’s a little more than 1.21 jigowatts. Third. You’d need a spaceship capable of reaching these cosmic strings and returning. With the time traveler alive, of course. What do you think, Hououin-san? Care to take on the challenge of cosmic string time travel? Hm? Looks like Hououin-san doesn’t want to take the challenge. In that case, let’s consider wormholes. They may be a little more realistic than cosmic strings. By the way, Hououin-san. Do you know what wormholes are?"
Rintaro,It’s like a shortcut through space... right?,"Yes, that’s correct. There are two wormholes joined by a tunnel. No matter how far away the wormholes are, transit time through the tunnel is zero. But oh no, there’s a problem. The wormhole tunnel suffers from super gravity, and collapses as soon as it opens. So we need something to negate the effect of gravity. So-called ’exotic matter’. A substance with negative mass which repulses other matter. Say that the wormhole tunnel is being squished by an invisible fist. ”In order to pass through, you need something that could oppose my fist’s ’grasping force’ so that I can’t squish anymore.” If you stabilize the tunnel with exotic matter injection, instantaneous travel between wormholes becomes possible. To travel through time, however, takes a little more effort. For example, let’s say there’s a wormhole entrance here in Akihabara, and the exit is in Los Angeles. First, we send the wormhole in LA all the way to the end of the universe at near the speed of light. And once it’s there, we yank it back to LA. According to the special theory of relativity, time slows down for objects moving at the speed of light. Meaning the hole that returned to LA would be further in the past than the Akihabara hole. So now, if Hououin-san jumped into the wormhole, he’d arrive in LA several years before he left. However, this still can’t be called true time travel. It only seems that way. This is called the Urashima effect. The important part is to return to Akihabara from LA through the wormhole once more. Since the transit time is zero... Hououin-san will return to Akihabara several years in the past. Time travel complete. The prerequisites for wormhole travel are simpler than the ones for cosmic string travel. First. The wormhole itself. They may exist somewhere in the universe. But nobody has ever seen one. Second. The energy required to move a wormhole to the end of the universe and back at near-light speed. Third. Exotic matter, which, by the way, has not been confirmed to exist. Now do you see what I meant when I said that time travel is an absurd concept? Time travel theories are all just thought experiments. Not one of them can create a viable time machine. That is my answer."
Student,"Isn’t there anything simpler? Like something you can pull out of a drawer and just use, or something.","I’m afraid not. This is the limit of modern physics. I can’t say how it might change in ten years, though. Besides, even if someone did overcome the logistical requirements, there may be other factors that prevent time travel from working. And that’s because fundamental problems concerning the principle of causality have not yet been solved."
Rintaro,You mean time paradoxes... and conservation of mass?,"If you think that conservation of mass applies to macro-systems like the universe or micro-systems like atoms or elementary particles, you’re mistaken. Heh. Conservation of mass only applies to chemical reactions. It doesn’t hold in modern physics at all. Something can come from nothing."
Professor,Then what is the problem?,"The time paradox of time paradoxes. In other words, the Grandfather Paradox. As long as this paradox goes unsolved, time travel can never be realized. Never."
Student,What if you just don’t kill them?,"You can’t think of it like a sci-fi movie. It’s not just about your family tree. There are far greater dangers than that. Any paradox, no matter how small, would cause the total collapse of causality, relativity, and every other physical law in existence. Paradoxes are nothing more than thought experiments. They cannot occur in reality, and they should not. Nothing that has even a 0.000001% chance of causing a paradox can happen. The universe won’t allow it. Wouldn’t you say this is the logical conclusion? There may be loopholes, like parallel worlds or the self-consistency principle, but those seem too much like fantasy for me to accept."
Itaru,"”Nice exposition, bro.”",Who are you calling a zombie?
Rintaro,What is the meaning of this!? What is your purpose here?,"I’m here to see you, Okabe Rintaro-san. Or is it Hououin Kyouma-san?"
Rintaro,"I was right! You’re one of the Organization’s top agents, an esper with superhuman powers! No wonder you rose from the dead!","I’m not dead, alright? Please stop killing me off. Hashida-san, can you do something about this guy?"
Rintaro,"Are you being blackmailed? Or did she seduce you? YOU’VE CROSSED THE LINE, BIIITTCH!",Get ahold of yourself. Hashida-san gave me the address after yesterday’s lecture. He also told me your name.
Rintaro,"So you’re here to see me, is that it?","Yes. You claimed to have seen me die. I came to see if that was the truth, or just a pathetic excuse to grope me. I came for the answer. But your current behavior is all the answer I need. It was all an act to grope me. My initial hypothesis was correct."
Rintaro,Not so fast. There’s more to this than you know.,"Anyway, let’s put that aside for now."
Rintaro,R-really?,"I haven’t properly introduced myself yet, have I? I’m Makise Kurisu. Pleased to meet you. You can’t even shake hands? Are all Japanese men this difficult?"
Rintaro,You’re not Japanese!?,I’ve lived in America for seven years. What about it?
Rintaro,America...,What’s your problem?
Rintaro,I can feel your aura of malice. You must be a powerful kung-fu master.,Don’t be ridiculous.
Rintaro,Then you’re a NINJA--,Give it a rest.
Rintaro,"If you grew up in America, shouldn’t you say ’HAHAHA! NICE TO MEET YOU!’ with a smile across your whole face when asking for a handshake? No, wait, you should be asking for a hug, right?",What kind of stereotype is that? ...Fascinating. Have any forceps?
Rintaro,No!,Oh.
Rintaro,What are you doing!? That’s precious data!,It’s squishy. ...No taste. Gross.
Rintaro,"You have quite the appetite, I see. A side-effect of the resurrection, perhaps? If you’re that hungry, I guess I could give you a banana or two!",No thanks.
Rintaro,"Come, don’t be shy. This is an offering. Take it!",As if. Who would eat some perv’s banana?
Itaru,"A perv’s banana...! Eat... a perv’s banana... squishy... finger in mouth... ’Gross!’ with a sour expression... Um, can you say that one more time? With a more humiliated expression, if you please.",Huh?
Itaru,"Come on. Say, ’Who would eat some perv’s banana?’ but if you could add an, ’Ahh, but it’s so...’ after that, it would be extra delicious!",Huh? ...huh? ...Ah!!
Rintaro,"Muhaha! Oh, Daru. You may be a worthless, disgusting perv, but let me say, well done, sir! So, Makise Kurisu. You just imagined something, didn’t you? By all means, tell us what. Don’t be shy. Muhahaha!",Why you...
Rintaro,"Come on! Say it, genius girl! What’s the imagination of a genius like? I’d love to hear from you!",You... ass! I get it. You’re both pervs.
Rintaro,I don’t want to hear that from you.,"Okay! If I came off as a little rude, I apologize. I was only acting that way because you molested me, but I’ll ignore that for now. Please tell me what happened to this banana. I’d also like to hear about that... That microwave thing."
Rintaro,That’s top secret. The one thing I’m cleared to share with unauthorized individuals is that its name is the PhoneWave (name subject to change).,Name subject to change? What’s that about?
Rintaro,PhoneWave is weak. It needs a better name.,I couldn’t care less about its name.
Rintaro,Hmm... well...,That creepy grin... are you thinking perverted thoughts again?
Rintaro,"You said your name’s Christina, right?",Who the hell’s Christina!? I never said that!
Rintaro,"If you wish to learn the secrets of this microwave, then you must meet my conditions.",...Which are?
Rintaro,Condition One: You must become a lab mem.,Ramen?
Rintaro,"No! Lab mem, stupid! Short for laboratory member!",You mean you want me to join your research team? I’m supposed to return to America in August.
Rintaro,"I’ll have you sign a non-disclosure agreement so you won’t betray our secrets. Break the agreement, and I’ll report your steamy, perverted acts to Science Magazine.",Gh...
Rintaro,"From the moment you become a lab mem to the moment of your departure, your brain shall be used for the benefit of our lab.","You’re so full of it. Let’s see the contract, then."
Rintaro,"What contract? This is a lab, not a corporation!","I don’t mind lending you my knowledge, but if there is more pervy nonsense involved, the answer is NO."
Rintaro,"Don’t worry, we don’t bite.",No more molestation?
Rintaro,"No, alright!?","You said that was condition one. So there’s gotta be a second one, right? It better not be--"
Rintaro,"Those are the conditions! If you can’t accept them, then you must leave at once! Heh heh heh. So what’ll it be? I don’t think it’s a bad deal at all.",You mean for you. Geez... I feel like I’m hypersecreting noradrenaline. Let me pick my jaw up off the floor.
Rintaro,"I don’t care about your dislocated jaw! Do you accept the conditions or not? Answer me, Christina!",Stop adding -tina! My name’s Kurisu! ...Okay. I accept.
Rintaro,"Hehehe, good answer. From this moment forth, you are Lab Mem Number 004. Welcome, Christina -- codename, The Zombie!","I won’t answer to either. Use my real name, Hououin."
Rintaro,You say something? Genius perv girl?,Come on! No more saying ’perv’! I won’t treat you like a perv either! So let’s drop it already!
Rintaro,"As long as you understand. Now for the issue at hand. Daru, give Christina--",No ’-tina’ either.
Rintaro,Let’s hear your opinion.,"I think we can at least throw out completely worthless theories like electromagnetic weaponry and teleportation. Can we run the experiment one more time? I want to see it for myself. Okabe-san, Hashida-san, please watch the bananas."
Rintaro,"Who are you to give me orders? I am the mad scientist, Houou--",Whatever. Just keep your eye on the bananas! Sixty seconds have passed. Any change?
Itaru,Nope.,100 seconds.
Rintaro,How does it look?,"Huh? Oh... uh... A-at 104 seconds, it d-disappeared. Abruptly. Yeah."
Rintaro,So it is a teleporter! The first in human history!,"... Teleportation... is that even possible? It did move... No matter how unbelievable that may be... Could it be quantum teleportation... no, that only occurs on the quantum level..."
Rintaro,Don’t avert your eyes from the truth! What you’ve seen with your own eyes is everything!,Did it really teleport? It’s dangerous to reason from the conclusion.
Rintaro,"Well then, genius girl, what do you call this phenomenon?",... Let’s sort this out. Neither the banana bunch nor the frozen chicken teleported. Correct?
Rintaro,"...So, maybe there’s a size limit for objects that can teleport.",But aren’t those chicken pieces smaller than bananas?
Itaru,"That’s quite a lot, then.","What about salt? You experimented with salt too, right? Maybe the plate was in the way."
Rintaro,"Of course we tried it without the plate, but that didn’t change anything.","Then, maybe each individual grain of salt was too small... or something? Hmm... I need a clue... Anything else? Have you noticed anything else about the PhoneWave?"
Rintaro,Not PhoneWave. PhoneWave (name subject to change).,Forget about that. So? Have you noticed anything or not?
Itaru,That’s because you weren’t around when it happened.,Discharge? How much?
Itaru,"It was like a fluorescent light lit up the development room. It lasted about two seconds, I guess.",What were the circumstances?
Itaru,Around noon yesterday. When you went to see Doctor Nakabachi’s presentation.,Doctor Nakabachi...
Itaru,An email?,"That email you showed me at ATF yesterday? It said someone stabbed me at the presentation, didn’t it?"
Rintaro,I get it... So that’s what happened.,"Uh, what?"
Rintaro,Huh?,I understand that they’re related somehow. But how?
Rintaro,"It’s your job to figure that out, Christina.","Hashida-san, talking to this guy’s so tiring."
Mayuri,"I’m home! So hungry... Time to eat some chicken! Juicy Chicken Number One♪ Okarin, did you buy the bananas? Okarin? Huh? We have a guest? I’m Mayushii. Nice to meet you!","I’m Makise. Apparently, I’m a lab mem now."
Rintaro,You there. Assistant!,Huh? Me?
Rintaro,Who else!?,When did I become your assistant!?
Rintaro,Just send something to my phone!,I don’t even know your email address.
Rintaro,What a useless assistant.,Don’t call me your assistant!
Rintaro,Send ’Christina’s a perv’!,I thought we agreed to stop saying that!
Rintaro,You traitor!,"Good job, Hashida-san!"
Mayuri,Oh no! Mayushii’s bananas! They became gelbanas...,We experimented on them.
Itaru,Want me to send the mail now?,"You’ll be reimbursed later. By Hououin-san, that is."
Mayuri,Huh? Wawah!,An electrical discharge!
Itaru,S-somehow.,That was definitely more than two seconds.
Mayuri,"Hmm... It doesn’t hurt anywhere, so I think I’m okay...",H-hey! Look at this!
Itaru,"What the hell? How did that... Yeah, it’s a microwave, but it’s not heavy enough to make a hole in the floor...",This can’t be caused by electrical discharge. Some other phenomenon?
Rintaro,Juicy Chicken Number One made a noble sacrifice for the progress of science. Let us pray for his happiness in the next life.,"The chicken doesn’t matter! Right now, we need to determine what happened with the Phonewa--"
Mayuri,"It doesn’t matter? That’s so mean, uh, Christina-chan...","Hey, Hououin Kyouma! Do something about this! Mayushii-san learned my name wrong!"
Rintaro,"Silence, all of you! Muhaha! Muhahaha! MUHAHAHAHA! It all connects. There’s a meaning behind this series of events, and only one true answer. I’ve discovered the PhoneWave (name subject to change)’s true hidden function! This isn’t intuition. That’s right. This is conviction!",Just spit it out. What do you think it is?
Rintaro,"First, let me say one thing. The greatest inventions are created by accident. This we call serendipity.",Get on with it.
Rintaro,The mail was sent to the past. The chicken returned to its frozen state. The plucked banana returned to the bunch.,...No way.
Mayuri,"Ehehe! That’s true. Oh, just now, when I was looking at the stars, I decided to have ramen for lunch today!",Ah.
Rintaro,"Well, if it isn’t my assistant. What are you doing here?",Hey. When did I become your assistant? ...Why are you glaring at me?
Rintaro,Don’t worry about it. You’re not the cause of my frustration.,"Oh, so you’re just raging? Don’t glare at me."
Rintaro,"You’ve glared at me before, haven’t you?","That’s because you keep doing pervy-- Ah, no, I’m not saying anything. Are the emails you’re getting really that unpleasant?"
Rintaro,"They’re more... unreasonable than unpleasant. So, Christina, what brings you here?","If you’re going to call me names, could you at least be consistent? Anyway, my business here doesn’t concern you."
Rintaro,Why are you pouting?,I’m not pouting. I just don’t want to get involved in your silly games again.
Rintaro,Nonsense. You’re already a lab mem. You have a duty to work for the benefit of the lab!,...I regret losing myself to curiosity back then.
Rintaro,Did you come to see the satellite?,"...I guess. It doesn’t make sense. Normally, they calculate satellites’ orbits so that they burn up in the atmosphere when they fall. So how can that thing be in such perfect condition?"
Rintaro,"Where’s this satellite from, anyway?","They still don’t know. Rumors say it’s from the former Soviet Union, but Russia denies it. So it looks like they can’t remove it yet."
Rintaro,So it’s another Organization cover-up! They knew I’d be at Radi-Kan and tried to erase me!,Organization? What’s that?
Rintaro,"The Organization is the Organization. Its formal name is something else, but all those who know of its existence call it the Organization out of fear. They rule the world from the shadows, transcending nations, with politics, economics, religion, even science in their clutches.","That’s obviously a crackpot conspiracy theory, thank you very mu-- ..."
Rintaro,What’s wrong?,"N-nothing! Really, nothing, okay? Say another word and I hit you! A-anyway! What’s happened with the PhoneWave!?"
Rintaro,"I thought you didn’t want to get involved. And it’s not the PhoneWave, it’s the PhoneWave (name subject to change)--",Just answer me. Have you learned anything?
Rintaro,"No progress. We’ve tried repeating the experiment, but at present, we haven’t been able to reproduce the discharge phenomenon or send another email to the past.",I see... Hello? Can you put your phone away when you’re talking with someone?
Rintaro,"Don’t be like that. Rather, you should praise me, for I have taught a foul mail demon to behave like a civilized human being.",Why are you so pompous?
Rintaro,"I’d ask you the same thing, Christina.",... Are you done with your little mail exchange? Hououin-san?
Rintaro,"Oh? So you remember my true name. Indeed, I am Hououin Kyouma.",I was being facetious.
Rintaro,How was that facetious? You called me by my correct name. You made no mistake. You’ll make a good assistant.,Okabe-san... have you sought professional help?
Rintaro,I am not Okabe!,"This is exhausting... You’re pompous, but at least you have some manners."
Rintaro,What do you mean?,I hate people who play with their phones in the middle of a conversation.
Rintaro,"Ah, so that’s why you grabbed my phone when we first met.",When we first met? I didn’t do that.
Rintaro,"Yeah you did. There I was, giving my report, when you grabbed my--",What? What do you mean ’giving your report’?
Rintaro,"No. It’s nothing. So, about the PhoneWave (name subject to change). After the experiment, you screamed something like ’A time machine? It can’t be!’ Did something awaken a past trauma?",No. And don’t go making one up either.
Rintaro,"Back when she was five years old, Christina was on the plains of Arkansas when lightning--",I wasn’t hit by lightning! And I was still living in Japan when I was five! And why Arkansas?
Rintaro,"I was trying to imagine tranquil scenery, and the first state to come to mind was Arkansas. Second was Oregon.","Not Utah? I mean, relatively speaking, isn’t Utah more suitable?"
Rintaro,"Then answer me, Christina! Why did you freak out back then!?",...No reason. I simply didn’t want to believe. Fringe science should stay in the realm of fiction.
Rintaro,Fringe science? Don’t be ridiculous. You saw it with your own eyes. You saw the email leap to the past! You saw the banana travel instantly through space!,I saw... but we must be missing something. Or maybe we’re just seeing what we want to see. Remember what I said at ATF? Time machines are just a pipe dream given modern technology. And yet a bunch of amateurs like you just stick a phone and a microwave together and expect time travel to occur? Ridiculous.
Rintaro,"But it did occur! Will you deny what you saw with your own eyes? Are you saying that theories trump reality? Then I hope you enjoy sophistry and word games, because that’s all you’ll ever have!","What do you mean, word games?"
Rintaro,"Quantum theory, for example. If you ask me, theories like that are nothing but word games!","Wait, are you rejecting modern physics? Who do you think you are?"
Rintaro,"Trust what you see! The only things that matter are things that happen; things that don’t happen, things that aren’t observed, are just hypotheses!","When hypotheses pile up, and theories are verified, they become reality. That’s how modern physics comes to understand the truth of the universe."
Rintaro,But sometimes your hypotheses are mistaken! Even Einstein was wrong about some things!,"So you’re going to do nothing, just because you could be wrong? Then enjoy your dirty little lab and your silly gadgets, because that’s all you’ll ever have. You’ll never reach the truth that way. Failure teaches success."
Rintaro,I see. Nice rebuttal.,"...You’re never getting off your high horse, are you?"
Rintaro,"By the way, Christina, I have always felt that physicists are hypocrites.",...What?
Rintaro,"There are phenomena that everyone knows occur in reality, but which physicists refuse to research. What do you think about that?",I don’t know what to say unless you can give me some examples.
Rintaro,"Ghosts, for instance.",The occult? Really?
Rintaro,People have seen ghosts. There is even photographic evidence. So where are the theories? Why do physicists refuse to speak?,...It’s a different field of study.
Rintaro,"You can’t call physics the study of natural phenomena, then decide some things don’t count!","True, but..."
Rintaro,And that’s why we must investigate the phenomenon of sending emails to the past. You shall assist me!,No. I won’t have a hand in your fringe science. I won’t make the same mistake my father did.
Rintaro,Your father?,"You make a fine argument, but it won’t work in the scientific community. The day you decide to research time travel is the day you’re out of a job."
Rintaro,How can you be so certain?,"Because that’s what happened to my father. My father, a physicist, loved time machines. He was so fascinated by Wells’s ’The Time Machine’ that he seriously studied time travel. But because of his obsession, he was practically exiled from the scientific community. I will never get involved with time travel research! ...I’m sorry. I got emotional."
Rintaro,"Muhahaha! Don’t worry about it! I wanted to test your character, so I made you angry on purpose!","...Huh? ...Anyway, the PhoneWave isn’t a time machine. Email is a manmade system, so this phenomenon should be explainable in the scope of that system."
Rintaro,I apologize for forcing you to become a lab mem. You don’t have to come again.,...I wasn’t planning on it.
Rintaro,"But know this, Christina.",Don’t call me Christina.
Rintaro,Lab Mem Number 004 will be a retired number. That number... is yours forever.,You look ridiculous!
Rintaro,What are you doing!? You’ve ruined my perfectly-staged exit scene! And you call yourself my assistant!?,"No, I don’t call myself your assistant! And besides, I still have something to ask you! I asked you about this before, but you said I got stabbed, right? I demand an explanation."
Rintaro,That was just something I hallucinated.,Why would you dream about me?
Rintaro,I don’t know. And it wasn’t a dream. It was a hallucination.,"You said something about Doctor Nakabachi, didn’t you?"
Rintaro,Doctor Nakabachi held a time machine presentation at Radi-Kan that day.,That presentation was canceled because of the satellite crash.
Rintaro,"So it seems. But in my hallucination, the presentation proceeded as planned. Mayuri and I went to see it, and you came over to flirt with me.",I don’t flirt. Especially not with idiots like you.
Rintaro,"Like I said, it wasn’t real, okay? No... maybe this world is what isn’t real. That would explain the riddle of the PhoneWave (name subject to change). If this world is some kind of simulation, then we can disregard the laws of physics.",Escapism? That’s unexpectedly chicken of you.
Rintaro,It’s a hypothesis. Your favorite thing.,So who stabbed me? Don’t tell me it was you.
Rintaro,You were already dead when I got there. I didn’t see who did it.,I don’t get it. Why do I have to die in your mind? You have something against me?
Rintaro,"Of course not. At that point in time, we had only spoken once. We were just strangers. Anyway, we didn’t know each other. That’s why I ran away instead of calling for an ambulance.",My hero.
Rintaro,What? You want me to go back in time and give you CPR or something? I’d need to use the PhoneWave (name subject to change) for that.,"...I’ve heard enough. No more hallucinating about me, okay? Dying isn’t fun, even if it’s in someone else’s head."
Rintaro,I can’t make any guarantees. That would require perfect 24-hour surveillance inside my brain.,"You have a comeback for everything, don’t you. Kyah! What now!?"
Rintaro,I’m not done talking!,You trying to pick a fight?
Rintaro,"It’s revenge for ruining my farewell scene, Christina! You shall regret your thoughtless actions!","Okay, okay, fine. What is it?"
Rintaro,About the IBN 5100.,I don’t know what you’re talking about.
Rintaro,"...If you don’t know, then forget about it. Farewell! We will not meet again.",Hey! Don’t tell me to forget about it! What is the IBN five... whatever?
Rintaro,Then IBN 5100. It’s a retro PC from 1975. I’m looking for one.,Yeah? What are you going to do with it?
Rintaro,"You’re interested, aren’t you?",...Just a little.
Rintaro,Then I shall answer! The IBN 5100 is the key to unlocking SERN’s most closely guarded secrets.,SERN? You mean... the SERN?
Rintaro,"Indeed. Through the tireless efforts of my faithful lab mems, we have uncovered evidence that SERN is researching time travel.",...Great. I shouldn’t have asked.
Rintaro,Oh! My assistant!,Not your assistant! Makise Kurisu!
Rintaro,"If you don’t say Christina, then I have no way of knowing it’s you.",I’m not Christina either! How many times do I have to tell you?
Rintaro,"You never stop complaining, do you?",Whose fault is that? Whose?
Rintaro,Wait a minute. How do you know my phone number?,Hashida-san told me.
Rintaro,"Oh, that’s boring. So, what is it, assistant?","I said I’m not your assistant. Haah, what’s the point... Where are you now?"
Rintaro,I’m headed to Yanabayashi Shrine.,"Ah, okay. Bye then."
Rintaro,Your accomplishments mean nothing to me.,What are you talking about?
Rintaro,What was that phone call about?,"I just wanted to ask you where you were. And since you said you were coming here, I came."
Rintaro,Nobody asked you to come.,"And yet, here I am."
Rintaro,Why did you come to see me?,Not because I wanted to or anything. Don’t get me wrong. ...I can’t stop thinking about what you said yesterday.
Rintaro,What I said?,About the IBN 5100. And SERN.
Rintaro,"Of course! You’re working for SERN, not the Organization! You’re here to kill me, aren’t you!? That’s what I thought! You have the face of a killer!",What’s wrong with my face? How rude! Can you calm down a bit? You’re always screwing around. I can’t believe you’re older than me.
Rintaro,"Calm down? Hmph! You don’t understand what it’s like to live on the run, never knowing when the next assassin will strike.",All I’m hearing is gibberish.
Rintaro,You come here to pick a fight?,I just want to know how the IBN 5100 and SERN are related.
Rintaro,Don’t you mean you’re interested in SERN’s time machine research? Be honest with yourself.,"Sh-shut up. I’m not interested in time machines at all. More importantly, did you find an IBN 5100?"
Rintaro,That’s why I’m here.”,A shrine?
Luka,Th-that’s true... I’ll be more careful from now on.,Hey. What are you two talking about?
Rintaro,My assistant.,No! What kind of introduction is that!?
Luka,You’re n-not Japanese?,I am Japanese.
Rintaro,"Anyway, Lukako. I need to talk to your father about--",Wait! Introduce me properly!
Rintaro,You want to be introduced? Properly?,It’s unnatural not to be introduced in this situation!
Rintaro,I didn’t come here to introduce you to Lukako!,An introduction wouldn’t take more than ten seconds! What’s wrong with you?
Rintaro,This is Makise Kurisu. My assistant.,"Yeah, whatever. Assistant, whatever... sigh."
Luka,"Nice to meet you, Makise-san. I’m Urushibara L-Luka.",Nice to meet you too. How old are you?
Luka,17 this year.,A year younger than me...
Luka,"No, that’s not what I... um, I mean you’re very beautiful!",Thanks. I think you’re very cute.
Rintaro,You’re introduced. Happy? Can we move on now?,You are such a jerk.
Luka,The future...,Of mankind?
Luka,I’ll go get him!,"Achoo! Oh no, did I catch a cold?"
Rintaro,The honor is mine.,...His name isn’t Hououin. It’s Okabe.
Rintaro,"You there, assistant! Stop making things complicated!",I’m just telling the truth.
Rintaro,I am Hououin.,"Okabe Rintaro is the name your parents gave you, right? Are you denying that?"
Rintaro,"Just be quiet, Zombie!",Who’s a zombie!?
Luka’s Father,Hahaha. It’s great that you all get along. Are you one of Luka’s friends too? Please get along with Luka from now on too.,"Um, I’m..."
Rintaro,Of course! Thank you! Can’t Americans start driving at 16? How come you don’t have a license?,"What, something wrong with that? I spend all my time doing research."
Rintaro,You’re wasting your youth.,"I thought so too, until I met you. Now I realize I’m doing just fine."
Rintaro,"You’re a lifesaver, Lukako. Thank your father again for me.",Your father is a lovely man.
Luka,Eh... M-my father is m-married... a-ad-adultery... is bad!,Huh?
Rintaro,"I see, assistant. So you like older men.","Hey, wait! Don’t misunderstand, you two. That’s not what I meant!"
Luka,I-I won’t give up my father...,P-please don’t cry... I just meant I was jealous of how well you get along with your father. That’s all.
Luka,"Eh, ah, of course... I’m sorry for the weird misunderstanding! That was so rude of me!","Don’t cry. We’ve resolved the misunderstanding, so it’s all okay."
Rintaro,...but in the depths of your heart lie feelings for Luka’s dad.,Die.
Luka,I’m sorry!,Hey! What kind of lowlife teases a girl?
Luka,Is it that heavy?,Pathetic. It’s only as big as a CRT monitor.
Rintaro,Then why don’t you try carrying it? Then you’ll understand.,"Wheugh...! ...It’s r-really heavy. This thing’s gotta weigh like 30 kilos. Maybe we should’ve borrowed a push cart. Urushibara-san, is there one in the shrine?"
Luka,"Umm, there is one, but actually, it’s broken... I’m sorry.",Oh. Is there some other place we could borrow--
